Eclust,W1Cclust,W2Cclust,Xclust,Yclust,ERclust,ptisoR4,ptisoR4HCAL,totalptR4,y
145.62233,0.6763042,0.5461046,10.244084,-12.428524,0.12526588,0.15096651,0.124262296,0.275228806,1
263.71365,1.3598359,0.54958755,-1.5735441,-7.8465242,0.21832584,1.8349704,0.72878504,2.56375544,1
104.3136,0.88280654,0.64267534,17.138218,-5.959702,0.12504031,0.6124463,0.5938148,1.2062610999999999,0
227.10522,0.64036703,0.551298,16.378641,-26.40766,0.3916031,0.0,0.6132266,0.6132266,1
113.43027,1.174148,0.5624514,13.795005,23.950546,0.0,1.3088508,9.275634,10.5844848,0
145.7597,0.8900627,0.59561235,1.6484516,9.884076,0.26324508,0.53463835,1.019276,1.55391435,1
54.6405,0.8099473,0.5525027,27.381245,-18.43898,0.25868484,32.55028,15.079985,47.630265,0
139.12213,0.69769806,0.5806676,15.316299,-0.22750862,0.118885614,5.463099,5.915474,11.378573,0
382.58044,0.8827849,0.6666444,4.6025214,14.370725,0.34727818,4.9376864,16.199198,21.1368844,1
89.511696,0.64896727,0.5836579,-2.8875785,23.992989,0.16518712,15.367845,7.80767,23.175515,0
153.09178,0.9266479,0.5486482,-5.7580824,-9.467034,0.27561828,21.610163,1.0329949,22.6431579,0
128.71463,0.67553055,0.5836633,-33.507652,-28.846014,0.17378914,0.0,4.1312504,4.1312504,1
42.480198,0.68548423,0.5361087,-22.791748,-29.255705,0.0,2.055292,2.1161194,4.1714114,1
55.926933,0.7660019,0.5569848,8.432101,-27.759407,0.08296417,3.7417488,0.80538124,4.54713004,0
319.43814,0.8012261,0.5486356,6.499024,-3.000007,0.40383843,0.0,0.23571447,0.23571447,0
51.656166,0.9824439,0.792458,-9.444329,-35.32567,0.0,25.762259,7.1658697,32.9281287,1
216.13818,0.8908583,0.67695063,-3.6773102,-6.4564643,0.3106096,0.6603544,1.7926522,2.4530066,1
59.36,0.7637323,0.5647544,17.301973,21.73253,0.15680854,1.9623995,0.5295779,2.4919774,0
108.06119,0.8006284,0.67915833,21.292423,-4.0615854,0.0,1.169462,4.028399,5.1978610000000005,1
130.53224,0.86489964,0.5862656,-5.6153016,-22.238358,0.23450562,0.17612335,0.5785495,0.7546728500000001,1
407.60922,0.72618693,0.57990813,-6.130207,-0.021686802,0.19075596,0.0,2.9536033,2.9536033,1
55.05174,0.80699646,0.59676564,1.486414,29.84112,0.056868903,0.060775395,1.587801,1.648576395,0
125.515076,0.8628366,0.60599923,-11.795143,5.3134465,0.20415433,13.5298605,1.8590615,15.388921999999999,0
54.716164,1.312567,0.6291385,12.215885,34.611137,0.0,13.578598,14.364738,27.943336,0
